News Article,Date,Apple_Price,Amazon_Price,Google_Price
Throw 1k into apple right now?,2021-01-04,86.412003,159.331497,129.410004
APPLE (j/w other thoughts),2021-01-04,86.412003,159.331497,129.410004
Every four $AAPL I see two $GME bullish DD,2021-01-04,86.412003,159.331497,129.410004
$AMZN Red Again,2021-01-04,86.412003,159.331497,129.410004
I’m down 7% on AMZN,2021-01-04,86.412003,159.331497,129.410004
I’m down 7% on AMZN,2021-01-04,86.412003,159.331497,129.410004
$NGA to the moon 🚀🚀🚀 Northern Genesis SPAC Rallies On Lion Electric-Amazon Deal Confirmation,2021-01-04,86.412003,159.331497,129.410004
$NGA to the moon 🚀🚀🚀 Northern Genesis SPAC Rallies On Lion Electric-Amazon Deal Confirmation,2021-01-04,86.412003,159.331497,129.410004
"2021 sucks already, AMZN to uranus🚀🚀🚀",2021-01-04,86.412003,159.331497,129.410004
Google workers announce plans to unionize.,2021-01-04,86.412003,159.331497,129.410004
wish to be the next amazon?,2021-01-04,86.412003,159.331497,129.410004
"Ryan Cohen invested in Apple, why this is a 🚀 BIG DEAL 🚀 in regards to 🚀 GAMESTOP 🚀",2021-01-04,86.412003,159.331497,129.410004
"So, when you google “what happens when you owe robinhood margin” this is the first result (stfu don’t ask why I googled that)",2021-01-04,86.412003,159.331497,129.410004
TSLA 750c 1/15 AMZN 3500 1/15,2021-01-04,86.412003,159.331497,129.410004
🚀🚀🚀🚀 SPAC merger confirmed + Secret deal with Amazon confirmed. $NGA (soon to be $LEV) to the moon 🚀🚀🚀🚀,2021-01-04,86.412003,159.331497,129.410004
Amazon is the mysterious 2500 truck buyer of Lion Electric (NGA),2021-01-04,86.412003,159.331497,129.410004
🚀🚀🚀 $NGA (soon to be $LEV) to the moon. SPAC Merger confirmed + Secret deal with Amazon confirmed (3% equity stake with warrants up to 20% stake) 🚀🚀🚀,2021-01-04,86.412003,159.331497,129.410004
🚀🚀🚀 $NGA (soon to be $LEV) to the moon. SPAC Merger confirmed + Secret deal with Amazon confirmed (3% equity stake with warrants up to 20% stake) 🚀🚀🚀 Link in comment.,2021-01-04,86.412003,159.331497,129.410004
"Can you tell when I found WSB? Biggest loss in AAPL during the crash in September, NIO and AMZN grabbed my portfolio by the balls and dragged it back",2021-01-04,86.412003,159.331497,129.410004
"Amazon buys Boeing jets from Delta, WestJet as aircraft prices drop",2021-01-05,87.045998,160.925507,131.009995
"Haven, the Amazon-Berkshire-JPMorgan venture to disrupt health care, is disbanding after 3 years",2021-01-05,87.045998,160.925507,131.009995
Solid TA of AAPL ready for launch (includes rockets!),2021-01-05,87.045998,160.925507,131.009995
AMZN Calls for ER,2021-01-05,87.045998,160.925507,131.009995
"The first dip was apple calls years ago, the second dip was palantir calls because of all you retards and the rise is QS puts for this week. Cashing out now.",2021-01-05,87.045998,160.925507,131.009995
APPLE TO THE MOON,2021-01-05,87.045998,160.925507,131.009995
Why doesn't everyone invest on amazon/apple?,2021-01-05,87.045998,160.925507,131.009995
