News Article,Apple_Price,Amazon_Price,Google_Price,Date
Throw 1k into apple right now?,86.412003,159.331497,129.410004,2024-06-14
APPLE (j/w other thoughts),86.412003,159.331497,129.410004,2024-06-14
Every four $AAPL I see two $GME bullish DD,86.412003,159.331497,129.410004,2024-06-14
$AMZN Red Again,86.412003,159.331497,129.410004,2024-06-14
I’m down 7% on AMZN,86.412003,159.331497,129.410004,2024-06-14
I’m down 7% on AMZN,86.412003,159.331497,129.410004,2024-06-14
$NGA to the moon 🚀🚀🚀 Northern Genesis SPAC Rallies On Lion Electric-Amazon Deal Confirmation,86.412003,159.331497,129.410004,2024-06-14
$NGA to the moon 🚀🚀🚀 Northern Genesis SPAC Rallies On Lion Electric-Amazon Deal Confirmation,86.412003,159.331497,129.410004,2024-06-14
"2021 sucks already, AMZN to uranus🚀🚀🚀",86.412003,159.331497,129.410004,2024-06-14
Google workers announce plans to unionize.,86.412003,159.331497,129.410004,2024-06-14
wish to be the next amazon?,86.412003,159.331497,129.410004,2024-06-14
"Ryan Cohen invested in Apple, why this is a 🚀 BIG DEAL 🚀 in regards to 🚀 GAMESTOP 🚀",86.412003,159.331497,129.410004,2024-06-14
"So, when you google “what happens when you owe robinhood margin” this is the first result (stfu don’t ask why I googled that)",86.412003,159.331497,129.410004,2024-06-14
TSLA 750c 1/15 AMZN 3500 1/15,86.412003,159.331497,129.410004,2024-06-14
🚀🚀🚀🚀 SPAC merger confirmed + Secret deal with Amazon confirmed. $NGA (soon to be $LEV) to the moon 🚀🚀🚀🚀,86.412003,159.331497,129.410004,2024-06-14
Amazon is the mysterious 2500 truck buyer of Lion Electric (NGA),86.412003,159.331497,129.410004,2024-06-14
🚀🚀🚀 $NGA (soon to be $LEV) to the moon. SPAC Merger confirmed + Secret deal with Amazon confirmed (3% equity stake with warrants up to 20% stake) 🚀🚀🚀,86.412003,159.331497,129.410004,2024-06-14
🚀🚀🚀 $NGA (soon to be $LEV) to the moon. SPAC Merger confirmed + Secret deal with Amazon confirmed (3% equity stake with warrants up to 20% stake) 🚀🚀🚀 Link in comment.,86.412003,159.331497,129.410004,2024-06-14
"Can you tell when I found WSB? Biggest loss in AAPL during the crash in September, NIO and AMZN grabbed my portfolio by the balls and dragged it back",86.412003,159.331497,129.410004,2024-06-14
"Amazon buys Boeing jets from Delta, WestJet as aircraft prices drop",87.045998,160.925507,131.009995,2024-06-15
"Haven, the Amazon-Berkshire-JPMorgan venture to disrupt health care, is disbanding after 3 years",87.045998,160.925507,131.009995,2024-06-15
Solid TA of AAPL ready for launch (includes rockets!),87.045998,160.925507,131.009995,2024-06-15
AMZN Calls for ER,87.045998,160.925507,131.009995,2024-06-15
"The first dip was apple calls years ago, the second dip was palantir calls because of all you retards and the rise is QS puts for this week. Cashing out now.",87.045998,160.925507,131.009995,2024-06-15
APPLE TO THE MOON,87.045998,160.925507,131.009995,2024-06-15
Why doesn't everyone invest on amazon/apple?,87.045998,160.925507,131.009995,2024-06-15
Apple analysis APPL stock 160-170$ TILL JANUARY END,87.045998,160.925507,131.009995,2024-06-15
Remember that time JPM Berkshire and Amazon were going to crush healthcare?,87.045998,160.925507,131.009995,2024-06-15
